x,y
10,50
10.7704,49.2911
11.5589,48.6808
12.3954,48.1381
13.2741,47.6667
14.1888,47.2699
15.1333,46.9504
16.1011,46.7104
17.0855,46.5516
18.0797,46.4751
19.0768,46.4814
19.4252,46.5031
20.0729,46.5544
21.0694,46.6333
22.0658,46.7122
23.0623,46.7911
24.0588,46.87
25.0553,46.9489
26.0517,47.0278
27.0482,47.1067
28.0447,47.1856
29.0412,47.2645
30.0376,47.3434
31.0341,47.4223
32.0306,47.5012
33.027,47.58
34.0235,47.6589
35.02,47.7378
36.0165,47.8167
37.0129,47.8956
38.0094,47.9745
39.0059,48.0534
40.0024,48.1323
40.9988,48.2112
41.9953,48.2901
42.9918,48.369
43.9883,48.4479
44.9847,48.5268
45.9812,48.6057
46.9777,48.6846
47.9742,48.7635
48.9706,48.8424
49.9671,48.9213
50.9636,49.0002
51.9601,49.0791
52.9565,49.158
53.953,49.2369
54.9495,49.3157
55.946,49.3946
56.9424,49.4735
57.9389,49.5524
58.9354,49.6313
59.9319,49.7102
60.9283,49.7891
61.9248,49.868
62.9213,49.9469
63.9178,50.0258
64.9142,50.1047
65.9107,50.1836
66.9072,50.2625
67.9036,50.3414
68.9001,50.4203
69.8966,50.4992
70.8931,50.5781
71.8895,50.657
72.886,50.7359
73.8825,50.8148
74.879,50.8937
75.9253,50.9765
76.9217,51.0554
77.9182,51.1343
78.9147,51.2132
79.9112,51.2921
80.9076,51.371
81.9041,51.4499
82.9006,51.5288
83.8971,51.6077
84.8935,51.6866
85.89,51.7655
86.8865,51.8443
87.883,51.9232
88.8794,52.0021
89.8759,52.081
90.8724,52.1599
91.8689,52.2388
92.8653,52.3177
93.8618,52.3966
94.8583,52.4755
95.8548,52.5544
96.8512,52.6333
97.8477,52.7122
98.8442,52.7911
99.8407,52.87
100.837,52.9489
101.834,53.0278
102.83,53.1067
103.827,53.1856
104.823,53.2645
105.819,53.3434
106.816,53.4223
107.812,53.5012
108.809,53.58
109.805,53.6589
110.802,53.7378
111.798,53.8167
112.795,53.8956
113.791,53.9745
114.788,54.0534
115.784,54.1323
116.781,54.2112
117.777,54.2901
118.774,54.369
119.77,54.4479
120.767,54.5268
121.763,54.6057
122.76,54.6846
123.756,54.7635
124.753,54.8424
125.749,54.9213
126.745,55.0002
127.742,55.0791
128.738,55.158
129.735,55.2369
130.731,55.3158
131.728,55.3946
132.724,55.4735
133.721,55.5524
134.717,55.6313
135.714,55.7102
136.71,55.7891
137.707,55.868
138.653,55.943
138.703,55.9469
139.7,55.9822
140.695,55.9346
141.684,55.8045
142.658,55.5928
143.612,55.3009
144.538,54.9308
145.43,54.4852
146.282,53.9671
147.088,53.38
147.878,52.6939
148.573,51.9786
149.206,51.2082
149.773,50.3879
150,50
